cloudflare,AS395747|AS394536|AS209242|AS203898|AS202623|AS14789|AS139242|AS133877|AS13335|AS132892
facebook,AS63293|AS54115|AS32934
fastly,AS54113|AS394192
google,AS6432|AS55023|AS45566|AS43515|AS41264|AS40873|AS396982|AS395973|AS394699|AS394639|AS394507|AS36987|AS36492|AS36385|AS36384|AS36040|AS36039|AS26910|AS26684|AS22859|AS22577|AS19527|AS19448|AS19425|AS16591|AS16550|AS15169|AS13949|AS139190|AS139070
netflix,AS55095|AS40027|AS394406|AS2906
telegram,AS62041|AS62014|AS59930|AS44907|AS211157
twitter,AS8945|AS63179|AS54888|AS35995|AS13414
github,AS36459
valve,AS32590
chinatelecom,AS4134|AS4809|AS23764|AS4812|AS4847|AS36678
chinamobile,AS9808|AS56040|AS24400|AS137872
chinaunicom,AS4837|AS9929|AS10099|AS4808|AS17621
cernet,AS4538|AS23910
cstnet,AS7497
google-cn,AS24424
hkt,AS4760|AS4515
hgc,AS9304|AS18116
hkbn,AS9269|AS9381
fc2,AS63210
yahoo-jp,AS55898|AS24572|AS24296|AS23816|AS23663|AS18140|AS131898
vultr,AS20473
linode,AS63949|AS48337|AS20940
digitalocean,AS14061
